"","time","description","condition","date"
"1","06:34:59","None","Wet","2019-03-17"
"2","11:20:00","None","Mixed","2019-03-17"
"3","14:33:45","None","Wet","2019-03-17"
"4","15:00:00","None","Soiled","2019-03-17"
"5","23:31:30","None","Mixed","2019-03-17"
"6","12:01:50","None","Wet","2019-03-18"
"7","17:13:22","None","Soiled","2019-03-18"
"8","01:29:22","None","Wet","2019-03-19"
"9","13:00:00","None","Wet","2019-03-19"
"10","17:24:43","None","Wet","2019-03-19"
"11","22:00:00","None","Soiled","2019-03-19"
"12","00:35:56","None","Wet","2019-03-20"
"13","08:22:46","None","Wet","2019-03-20"
"14","09:45:00","None","Soiled","2019-03-20"
"15","15:00:00","None","Mixed","2019-03-20"
"16","18:00:00","None","Soiled","2019-03-20"
"17","22:41:45","None","Wet","2019-03-20"
"18","02:15:00","None","Wet","2019-03-21"
"19","02:45:00","None","Soiled","2019-03-21"
"20","10:34:01","None","Wet","2019-03-21"
"21","13:46:44","None","Mixed","2019-03-21"
"22","15:25:39","None","Soiled","2019-03-21"
"23","02:14:55","None","Wet","2019-03-22"
"24","03:00:00","None","Mixed","2019-03-22"
"25","08:00:00","None","Wet","2019-03-22"
"26","11:55:14","None","Wet","2019-03-22"
"27","16:21:20","None","Mixed","2019-03-22"
"28","21:03:16","None","Mixed","2019-03-22"
"29","03:29:21","None","Mixed","2019-03-23"
"30","06:48:52","None","Wet","2019-03-23"
"31","09:35:41","None","Wet","2019-03-23"
"32","13:03:37","None","Mixed","2019-03-23"
"33","15:56:15","None","Mixed","2019-03-23"
"34","20:30:00","None","Wet","2019-03-23"
"35","02:00:00","None","Wet","2019-03-24"
"36","05:17:24","None","Wet","2019-03-24"
"37","07:29:28","None","Mixed","2019-03-24"
"38","09:23:42","None","Mixed","2019-03-24"
"39","18:38:22","None","Mixed","2019-03-24"
"40","20:52:03","None","Mixed","2019-03-24"
"41","03:26:28","None","Mixed","2019-03-25"
"42","05:00:00","None","Mixed","2019-03-25"
"43","18:10:03","None","Mixed","2019-03-25"
"44","14:10:00","None","Wet","2019-03-25"
"45","10:15:00","None","Mixed","2019-03-25"
"46","20:38:49","None","Mixed","2019-03-25"
"47","02:06:03","None","Wet","2019-03-26"
"48","02:49:34","None","Soiled","2019-03-26"
"49","05:40:27","None","Mixed","2019-03-26"
"50","09:33:35","None","Wet","2019-03-26"
"51","14:27:55","None","Mixed","2019-03-26"
"52","14:58:31","None","Mixed","2019-03-26"
"53","17:00:00","None","Mixed","2019-03-26"
"54","22:27:28","None","Wet","2019-03-26"
"55","03:59:56","None","Mixed","2019-03-27"
"56","10:36:31","None","Mixed","2019-03-27"
"57","08:30:00","None","Mixed","2019-03-27"
"58","18:02:44","None","Mixed","2019-03-27"
"59","22:42:32","None","Mixed","2019-03-27"
"60","02:43:29","None","Mixed","2019-03-28"
"61","06:00:00","None","Mixed","2019-03-28"
"62","09:00:00","None","Mixed","2019-03-28"
"63","11:00:00","None","Wet","2019-03-28"
"64","17:00:00","None","Mixed","2019-03-28"
"65","21:00:00","None","Mixed","2019-03-28"
"66","12:10:54","None","Mixed","2019-03-29"
"67","08:00:00","None","Mixed","2019-03-29"
"68","08:00:00","None","Mixed","2019-03-29"
"69","13:54:03","None","Wet","2019-03-29"
"70","16:20:36","None","Mixed","2019-03-29"
"71","20:23:19","None","Mixed","2019-03-29"
"72","23:23:16","None","Mixed","2019-03-29"
"73","02:22:08","None","Mixed","2019-03-30"
"74","06:29:14","None","Mixed","2019-03-30"
"75","08:47:16","None","Wet","2019-03-30"
"76","12:30:00","None","Mixed","2019-03-30"
"77","20:42:23","None","Mixed","2019-03-30"
"78","00:00:00","None","Mixed","2019-03-31"
"79","03:04:10","None","Mixed","2019-03-31"
"80","06:38:35","None","Mixed","2019-03-31"
"81","09:00:00","None","Mixed","2019-03-31"
"82","10:00:00","None","Wet","2019-03-31"
"83","15:34:21","None","Wet","2019-03-31"
"84","17:15:00","None","Mixed","2019-03-31"
"85","21:07:33","None","Mixed","2019-03-31"
"86","17:05:00","None","Mixed","2019-04-01"
"87","03:50:31","None","Mixed","2019-04-01"
"88","06:51:25","None","Mixed","2019-04-01"
"89","09:13:09","None","Mixed","2019-04-01"
"90","12:14:24","None","Mixed","2019-04-01"
"91","14:52:28","None","Wet","2019-04-01"
"92","22:07:58","None","Mixed","2019-04-01"
"93","01:25:47","None","Mixed","2019-04-02"
"94","05:30:28","None","Mixed","2019-04-02"
"95","09:15:00","None","Mixed","2019-04-02"
"96","12:30:00","None","Mixed","2019-04-02"
"97","16:21:48","None","Mixed","2019-04-02"
"98","22:30:00","None","Mixed","2019-04-02"
"99","20:00:00","None","Mixed","2019-04-02"
"100","02:29:22","None","Mixed","2019-04-03"
"101","09:30:00","None","Mixed","2019-04-03"
"102","11:54:53","None","Mixed","2019-04-03"
"103","14:13:16","None","Mixed","2019-04-03"
"104","17:35:40","None","Mixed","2019-04-03"
"105","20:30:00","None","Mixed","2019-04-03"
"106","22:00:00","None","Mixed","2019-04-03"
