"","side","start","end","duration_sec","date","startT","endT"
"1","right","2019-03-17 01:45:00.000-0400","2019-03-17 01:55:00.000-0400","600","2019-03-17","01:45:00","01:55:00"
"2","left","2019-03-17 04:30:00.000-0400","2019-03-17 04:45:00.000-0400","900","2019-03-17","04:30:00","04:45:00"
"3","right","2019-03-17 05:20:00.000-0400","2019-03-17 05:30:38.000-0400","638","2019-03-17","05:20:00","05:30:38"
"4","left","2019-03-17 10:39:00.000-0400","2019-03-17 10:55:53.000-0400","1013","2019-03-17","10:39:00","10:55:53"
"5","right","2019-03-17 13:59:00.000-0400","2019-03-17 14:05:35.000-0400","395","2019-03-17","13:59:00","14:05:35"
"6","left","2019-03-17 17:01:00.000-0400","2019-03-17 17:05:40.000-0400","280","2019-03-17","17:01:00","17:05:40"
"7","right","2019-03-17 18:07:00.000-0400","2019-03-17 18:20:17.000-0400","797","2019-03-17","18:07:00","18:20:17"
"8","both","2019-03-17 22:15:00.000-0400","2019-03-17 22:45:31.000-0400","1831","2019-03-17","22:15:00","22:45:31"
"9","left","2019-03-18 00:20:00.000-0400","2019-03-18 00:30:00.000-0400","600","2019-03-18","00:20:00","00:30:00"
"10","right","2019-03-18 04:50:00.000-0400","2019-03-18 05:15:50.000-0400","1550","2019-03-18","04:50:00","05:15:50"
"11","left","2019-03-18 06:05:00.000-0400","2019-03-18 06:30:47.000-0400","1547","2019-03-18","06:05:00","06:30:47"
"12","right","2019-03-18 09:45:00.000-0400","2019-03-18 10:10:09.000-0400","1509","2019-03-18","09:45:00","10:10:09"
"13","left","2019-03-18 12:05:00.000-0400","2019-03-18 12:30:38.000-0400","1538","2019-03-18","12:05:00","12:30:38"
"14","right","2019-03-18 13:06:00.000-0400","2019-03-18 13:15:14.000-0400","554","2019-03-18","13:06:00","13:15:14"
"15","right","2019-03-18 14:10:00.000-0400","2019-03-18 14:25:28.000-0400","928","2019-03-18","14:10:00","14:25:28"
"16","left","2019-03-18 16:55:00.000-0400","2019-03-18 17:10:50.000-0400","950","2019-03-18","16:55:00","17:10:50"
"17","right","2019-03-18 19:35:00.000-0400","2019-03-18 20:05:14.000-0400","1814","2019-03-18","19:35:00","20:05:14"
"18","left","2019-03-18 21:40:00.000-0400","2019-03-18 22:05:03.000-0400","1503","2019-03-18","21:40:00","22:05:03"
"19","right","2019-03-18 22:36:00.000-0400","2019-03-18 22:50:00.000-0400","840","2019-03-18","22:36:00","22:50:00"
"20","right","2019-03-19 00:12:00.000-0400","2019-03-19 00:30:32.000-0400","1112","2019-03-19","00:12:00","00:30:32"
"21","left","2019-03-19 01:09:00.000-0400","2019-03-19 01:20:08.000-0400","668","2019-03-19","01:09:00","01:20:08"
"22","right","2019-03-19 01:47:00.000-0400","2019-03-19 02:00:51.000-0400","831","2019-03-19","01:47:00","02:00:51"
"23","left","2019-03-19 06:15:00.000-0400","2019-03-19 06:35:12.000-0400","1212","2019-03-19","06:15:00","06:35:12"
"24","right","2019-03-19 07:05:00.000-0400","2019-03-19 07:20:00.000-0400","900","2019-03-19","07:05:00","07:20:00"
"25","left","2019-03-19 10:07:00.000-0400","2019-03-19 10:20:29.000-0400","809","2019-03-19","10:07:00","10:20:29"
"26","right","2019-03-19 10:32:00.000-0400","2019-03-19 11:10:18.000-0400","2298","2019-03-19","10:32:00","11:10:18"
"27","left","2019-03-19 13:00:00.000-0400","2019-03-19 13:15:35.000-0400","935","2019-03-19","13:00:00","13:15:35"
"28","right","2019-03-19 14:04:00.000-0400","2019-03-19 14:15:36.000-0400","696","2019-03-19","14:04:00","14:15:36"
"29","left","2019-03-19 17:10:00.000-0400","2019-03-19 17:25:33.000-0400","933","2019-03-19","17:10:00","17:25:33"
"30","right","2019-03-19 20:06:00.000-0400","2019-03-19 20:25:06.000-0400","1146","2019-03-19","20:06:00","20:25:06"
"31","left","2019-03-19 20:30:00.000-0400","2019-03-19 20:55:17.000-0400","1517","2019-03-19","20:30:00","20:55:17"
"32","right","2019-03-19 22:40:00.000-0400","2019-03-19 22:55:08.000-0400","908","2019-03-19","22:40:00","22:55:08"
"33","left","2019-03-19 23:55:00.000-0400","2019-03-20 00:10:57.000-0400","957","2019-03-19","23:55:00","00:10:57"
"34","left","2019-03-20 00:40:00.000-0400","2019-03-20 00:55:21.000-0400","921","2019-03-20","00:40:00","00:55:21"
"35","right","2019-03-20 02:50:00.000-0400","2019-03-20 03:15:44.000-0400","1544","2019-03-20","02:50:00","03:15:44"
"36","left","2019-03-20 03:40:00.000-0400","2019-03-20 04:00:47.000-0400","1247","2019-03-20","03:40:00","04:00:47"
"37","right","2019-03-20 05:51:00.000-0400","2019-03-20 06:05:45.000-0400","885","2019-03-20","05:51:00","06:05:45"
"38","left","2019-03-20 06:54:00.000-0400","2019-03-20 07:05:36.000-0400","696","2019-03-20","06:54:00","07:05:36"
"39","left","2019-03-20 08:20:00.000-0400","2019-03-20 08:35:54.000-0400","954","2019-03-20","08:20:00","08:35:54"
"40","right","2019-03-20 10:45:00.000-0400","2019-03-20 11:00:02.000-0400","902","2019-03-20","10:45:00","11:00:02"
"41","left","2019-03-20 12:35:00.000-0400","2019-03-20 12:50:35.000-0400","935","2019-03-20","12:35:00","12:50:35"
"42","right","2019-03-20 16:15:00.000-0400","2019-03-20 16:45:08.000-0400","1808","2019-03-20","16:15:00","16:45:08"
"43","left","2019-03-20 18:28:00.000-0400","2019-03-20 18:45:44.000-0400","1064","2019-03-20","18:28:00","18:45:44"
"44","right","2019-03-20 19:26:00.000-0400","2019-03-20 19:40:24.000-0400","864","2019-03-20","19:26:00","19:40:24"
"45","left","2019-03-20 21:45:00.000-0400","2019-03-20 21:55:03.000-0400","603","2019-03-20","21:45:00","21:55:03"
"46","right","2019-03-20 22:15:00.000-0400","2019-03-20 22:30:12.000-0400","912","2019-03-20","22:15:00","22:30:12"
"47","left","2019-03-21 00:54:00.000-0400","2019-03-21 01:20:37.000-0400","1597","2019-03-21","00:54:00","01:20:37"
"48","right","2019-03-21 01:35:00.000-0400","2019-03-21 01:55:27.000-0400","1227","2019-03-21","01:35:00","01:55:27"
"49","left","2019-03-21 04:06:00.000-0400","2019-03-21 04:15:30.000-0400","570","2019-03-21","04:06:00","04:15:30"
"50","right","2019-03-21 04:39:00.000-0400","2019-03-21 04:55:44.000-0400","1004","2019-03-21","04:39:00","04:55:44"
"51","left","2019-03-21 07:55:00.000-0400","2019-03-21 08:05:06.000-0400","606","2019-03-21","07:55:00","08:05:06"
"52","right","2019-03-21 08:25:00.000-0400","2019-03-21 08:35:04.000-0400","604","2019-03-21","08:25:00","08:35:04"
"53","left","2019-03-21 10:35:00.000-0400","2019-03-21 10:50:21.000-0400","921","2019-03-21","10:35:00","10:50:21"
"54","right","2019-03-21 11:44:00.000-0400","2019-03-21 12:05:45.000-0400","1305","2019-03-21","11:44:00","12:05:45"
"55","left","2019-03-21 13:50:00.000-0400","2019-03-21 14:10:44.000-0400","1244","2019-03-21","13:50:00","14:10:44"
"56","right","2019-03-21 14:30:00.000-0400","2019-03-21 14:50:35.000-0400","1235","2019-03-21","14:30:00","14:50:35"
"57","left","2019-03-21 16:42:00.000-0400","2019-03-21 16:55:49.000-0400","829","2019-03-21","16:42:00","16:55:49"
"58","right","2019-03-21 17:02:00.000-0400","2019-03-21 17:20:45.000-0400","1125","2019-03-21","17:02:00","17:20:45"
"59","left","2019-03-21 19:28:00.000-0400","2019-03-21 19:45:24.000-0400","1044","2019-03-21","19:28:00","19:45:24"
"60","right","2019-03-21 19:59:00.000-0400","2019-03-21 20:15:34.000-0400","994","2019-03-21","19:59:00","20:15:34"
"61","right","2019-03-21 21:58:00.000-0400","2019-03-21 22:15:36.000-0400","1056","2019-03-21","21:58:00","22:15:36"
"62","left","2019-03-21 22:25:00.000-0400","2019-03-21 22:45:15.000-0400","1215","2019-03-21","22:25:00","22:45:15"
"63","left","2019-03-22 01:53:00.000-0400","2019-03-22 02:10:23.000-0400","1043","2019-03-22","01:53:00","02:10:23"
"64","right","2019-03-22 02:20:00.000-0400","2019-03-22 02:50:07.000-0400","1807","2019-03-22","02:20:00","02:50:07"
"65","left","2019-03-22 05:34:00.000-0400","2019-03-22 06:00:16.000-0400","1576","2019-03-22","05:34:00","06:00:16"
"66","right","2019-03-22 08:30:00.000-0400","2019-03-22 08:55:44.000-0400","1544","2019-03-22","08:30:00","08:55:44"
"67","left","2019-03-22 10:58:00.000-0400","2019-03-22 11:25:05.000-0400","1625","2019-03-22","10:58:00","11:25:05"
"68","right","2019-03-22 12:02:00.000-0400","2019-03-22 12:20:56.000-0400","1136","2019-03-22","12:02:00","12:20:56"
"69","left","2019-03-22 14:01:00.000-0400","2019-03-22 14:15:46.000-0400","886","2019-03-22","14:01:00","14:15:46"
"70","right","2019-03-22 14:30:00.000-0400","2019-03-22 14:45:46.000-0400","946","2019-03-22","14:30:00","14:45:46"
"71","right","2019-03-22 16:51:00.000-0400","2019-03-22 17:10:39.000-0400","1179","2019-03-22","16:51:00","17:10:39"
"72","left","2019-03-22 17:29:00.000-0400","2019-03-22 17:35:45.000-0400","405","2019-03-22","17:29:00","17:35:45"
"73","left","2019-03-22 19:30:00.000-0400","2019-03-22 19:50:29.000-0400","1229","2019-03-22","19:30:00","19:50:29"
"74","right","2019-03-22 20:20:00.000-0400","2019-03-22 20:35:35.000-0400","935","2019-03-22","20:20:00","20:35:35"
"75","right","2019-03-22 23:29:00.000-0400","2019-03-22 23:45:18.000-0400","978","2019-03-22","23:29:00","23:45:18"
"76","left","2019-03-23 00:00:00.000-0400","2019-03-23 00:15:03.000-0400","903","2019-03-23","00:00:00","00:15:03"
"77","left","2019-03-23 02:54:00.000-0400","2019-03-23 03:05:11.000-0400","671","2019-03-23","02:54:00","03:05:11"
"78","right","2019-03-23 03:29:00.000-0400","2019-03-23 03:40:28.000-0400","688","2019-03-23","03:29:00","03:40:28"
"79","right","2019-03-23 06:27:00.000-0400","2019-03-23 06:40:01.000-0400","781","2019-03-23","06:27:00","06:40:01"
"80","left","2019-03-23 06:54:00.000-0400","2019-03-23 07:10:54.000-0400","1014","2019-03-23","06:54:00","07:10:54"
"81","left","2019-03-23 09:45:00.000-0400","2019-03-23 10:00:44.000-0400","944","2019-03-23","09:45:00","10:00:44"
"82","right","2019-03-23 10:20:00.000-0400","2019-03-23 10:40:25.000-0400","1225","2019-03-23","10:20:00","10:40:25"
"83","right","2019-03-23 13:06:00.000-0400","2019-03-23 13:20:36.000-0400","876","2019-03-23","13:06:00","13:20:36"
"84","left","2019-03-23 14:05:00.000-0400","2019-03-23 14:15:06.000-0400","606","2019-03-23","14:05:00","14:15:06"
"85","left","2019-03-23 16:02:00.000-0400","2019-03-23 16:15:01.000-0400","781","2019-03-23","16:02:00","16:15:01"
"86","right","2019-03-23 16:41:00.000-0400","2019-03-23 17:10:48.000-0400","1788","2019-03-23","16:41:00","17:10:48"
"87","left","2019-03-23 19:45:00.000-0400","2019-03-23 20:00:31.000-0400","931","2019-03-23","19:45:00","20:00:31"
"88","right","2019-03-23 20:25:00.000-0400","2019-03-23 20:35:18.000-0400","618","2019-03-23","20:25:00","20:35:18"
"89","right","2019-03-23 21:03:00.000-0400","2019-03-23 21:20:52.000-0400","1072","2019-03-23","21:03:00","21:20:52"
"90","left","2019-03-23 23:14:00.000-0400","2019-03-23 23:30:51.000-0400","1011","2019-03-23","23:14:00","23:30:51"
